ID,Nimi,Number,Liik,Tee_GID,Piirkiirus,Kate
13731,Sõpruse - Turu ristmik H 4,,kõnnitee,{84350A87-C178-4A86-99F7-E0FAA43C82AF},50,asfaltbetoon
13732,Sõpruse pst,7950325,jaotustänav,{2125B2B6-47C2-455F-A052-9EBC2E0634A2},50,tihe asfaltbetoon
13733,Sõpruse pst,7950325,jaotustänav,{FFA3486B-EBCA-41DA-A28A-996AFA0564DC},30,tihe asfaltbetoon
13734,Sõpruse pst,,jalgratta- ja jalgtee,{08B20527-D3E7-4597-9FF3-AD3B9F9B2586},50,asfaltbetoon
13735,Sõpruse pst,,kõnnitee,{CC455695-AA69-4512-B025-9929A964CD36},50,asfaltbetoon
13736,Sõpruse pst,,jalgratta- ja jalgtee,{04FBA3EB-08E6-4568-B983-F0EC20A6EB87},50,asfaltbetoon
13737,Sõpruse pst,7950325,jaotustänav,{1F725841-8541-4A61-9D08-7F750C0ED4B4},50,tihe asfaltbetoon
13738,Sõpruse pst,7950325,jaotustänav,{15A6F359-4F32-425E-B7E0-D101F7C351B2},50,tihe asfaltbetoon
13739,Sõpruse pst,,kõnnitee,{0F630930-AA39-492F-8AFC-B7877F451E33},50,asfaltbetoon
13740,Sõpruse pst,7950325,jaotustänav,{D22A6686-1325-49B7-9D2F-DFA8FEC4982F},50,tihe asfaltbetoon
13741,Sõpruse pst,,jalgratta- ja jalgtee,{A0FE9B26-08D3-4A7B-A5A9-28D9D3D96D8D},50,asfaltbetoon
13742,Sõpruse pst,7950325,jaotustänav,{395CA65B-1D0B-4AE9-8B38-21F1FADB33BE},50,tihe asfaltbetoon
13743,Sõpruse pst,,kõnnitee,{B17E59D1-CED0-45B0-8E59-EB412DAB7177},50,asfaltbetoon
13744,Sõpruse pst,,kõnnitee,{B2A7D096-5562-40F5-9704-A446E01D57D9},50,asfaltbetoon
13745,Sõpruse pst,,jalgratta- ja jalgtee,{AAD67A61-DD94-41D8-B008-E37B574EC778},50,asfaltbetoon
13746,Sõpruse pst,,kõnnitee,{124D4E80-C5E0-4AC2-A6A2-6B9CBC789BAD},50,tihe asfaltbetoon
13747,Sõpruse pst,,kõnnitee,{19FA81C8-A245-4F9C-8319-6D625D51B286},50,asfaltbetoon
13748,Sõpruse pst,,jalgratta- ja jalgtee,{233F2A71-AD1B-428A-921F-015A6A4BF67C},50,sillutiskate
13749,Sõpruse pst,,jalgratta- ja jalgtee,{7A4F478B-7DB0-4D4C-9506-776ADA546DC9},50,asfaltbetoon
13750,Sõpruse pst,,jalgratta- ja jalgtee,{08EA854B-C8B9-4EA9-9493-8B67F8EEDD4E},50,tihe asfaltbetoon
13751,Sõpruse pst,,kõnnitee,{79A81DA2-A94F-4358-A98B-EBC95417299A},50,asfaltbetoon
13752,Sõpruse pst,,kõnnitee,{154E455A-1BAE-4E79-B9BC-2091FC2F77A1},50,asfaltbetoon
13753,Sõpruse pst,7951180,jaotustänav,{DA407565-415C-4BB7-A136-4024A2EA3AE6},50,tihe asfaltbetoon
13754,Sõpruse pst,,kõnnitee,{924A9EB4-30FA-4C81-A7A0-8480D3505F67},50,asfaltbetoon
13755,Sõpruse pst,7951180,jaotustänav,{5E4E8A87-83DF-4752-8DD2-79AB965382B7},50,tihe asfaltbetoon
13756,Sõpruse pst,,kõnnitee,{4A640A63-07C0-4EAC-AA0E-5E0328A05D5E},50,asfaltbetoon
